Name,Type
Beaunoire,Red
Cep Gris,Red
Co Gris,Red
Mourillon,Red
Pinot D'Ai,Red
Pinot D'Ailly,Red
Pinot D'Orleans,Red
Seau Gris,Red
Sogris,Red
Béclan,Red
Beclan Petit,Red
Baccalan,Red
Baclan,Red
Baclans,Red
Becclan,Red
Beikian,Red
Beitrian,Red
Durau,Red
Dureau,Red
Duret,Red
Margillin Petit,Red
Petit Beclan,Red
Petit Dureau,Red
Petit Margillin,Red
Rousette Noire,Red
Saunoir,Red
Saut Noir,Red
Sceau Noir,Red
Seaut Noir,Red
Suessschwarz,Red
Beichun,Red
Bei Chun,Red
Bekari,Red
Bekaro,Red
Mbekari Mavro,Red
Mbekaro,Red
Mpekari,Red
Mpekari Mavro,Red
Mpekaro,Red
Belat,Red
Béquignol Noir,Red
Balouzat,Red
Bequignaou,Red
Bequin Rouge,Red
Blanc Fer,Red
Bouton Blanc,Red
Breton,Red
Cabernet,Red
Camerouge,Red
Chalosse Noir,Red
Chalosse Noire,Red
Chausse,Red
Chausset,Red
Egrenant,Red
Embalouzat,Red
Enrageat Rouge,Red
Grosse Here,Red
Here,Red
Jurancon,Red
Mancais Noir,Red
Maouron,Red
Mauron,Red
Micardeau,Red
Negrotte,Red
Noir Cimrah,Red
Noir De Cimrah,Red
Noir De Valin,Red
Petit Fer,Red
Plant De Dissay,Red
Prunalet,Red
Raboso Piave,Red
Sencit Gris,Red
Biborkadarka,Red
Bibor Kadarka,Red
Biborkadarsa,Red
Black Queen,Red
Pok Dum,Red
Pokdum,Red
Blatina,Red
Blarina Velika Prarnobacva,Red
Blathina,Red
Blatina Black,Red
Blatina Blaue,Red
Blatina Crna,Red
Blatina Hercegovacka,Red
Blatina Mala,Red
Blatina Nera,Red
Blatina Noir,Red
Blatina Noire,Red
Blatina Velika,Red
Blatyna,Red
Praznobacva,Red
Praznobatchva,Red
Stara Zilavka,Red
Tribidrag,Red
Tribirad,Red
Trzhbii Drak,Red
Zilavka Stara,Red
Zlorod,Red
Blauburger,Red
Klosterneuburg,Red
Blauer Arbst,Red
Pinot Noir,Red
Pinot Noir,Red
Aprofekete,Red
Arbst,Red
Arbst Blau,Red
Arbst Blauer,Red
Assmannshaeuser,Red
Augustiner,Red
Auvergnat,Red
Auvernas,Red
Auvernas Rouge,Red
Auvernat,Red
Auvernat Noir,Red
Auxerra,Red
Berligout,Red
Black Burgundy,Red
Black Morillon,Red
Blak Burgundy,Red
Blau Burgunder,Red
Blauburgunder,Red
Blauer,Red
Blauer Augustiner,Red
Blauer Burgunder,Red
Blauer Claevner,Red
Blauer Clevner,Red
Blauer Klaevener,Red
Blauer Klaever,Red
Blauer Klevner,Red
Blauer Klewner,Red
Blauer Nuernberg,Red
Blauer Nuernberger,Red
Blauer Rischling,Red
Blauer Seeklevner,Red
Blauer Spaetburgunder,Red
Blauer Sylvaner,Red
Blaw Shpet Burgunder,Red
Bodenseetraube,Red
Bodenseetraube Blaue,Red
Boehmischer,Red
Bon Plant,Red
Borgogna Nera,Red
Borgogna Nero,Red
Borgogna Rosso,Red
Bourgignon,Red
